example;implementation;mean_time;median_time;min_time;cost;data;intensity;idx;slowdown;speedup;cost_rel;intensity_ref
application025;algorithm34;0.0030202321000000003;0.002779888;0.002668765;534454134.3333333;800600.0;667.5669926721624;34;0.9597778470672051;1.041907773820475;1.0000014968565982;667.5659934216003
random001;algorithm1;0.027533516999999997;0.0258645865;0.025075383000000003;13501890000.0;9623750.0;1402.9759709053126;1;0.9653529994647619;1.0358904986615756;1.0;1402.9759709053126
random002;algorithm3;0.0450281919;0.0436402695;0.042365154;17229461666.666668;11081300.0;1554.8231404859241;3;0.9621975280664151;1.0392876419143904;1.0000339546223076;1554.7703488459538
random003;algorithm0;0.0666757948;0.066120257;0.06487417300000001;24720735000.0;16087500.0;1536.6424242424246;0;1.0;1.0;1.0;1536.6424242424246
random004;algorithm4;0.02498197765;0.025193260500000002;0.022272969;8981046666.666666;8665000.0;1036.4739372956337;4;0.997880358131708;1.0021241442934707;1.0;1036.4739372956337
random005;algorithm14;0.0596406302;0.0597082565;0.059013723;25016541666.666664;10720500.0;2333.5237784307324;14;0.9317920560809639;1.0732008214428364;1.0;2333.5237784307324
random006;algorithm49;0.0041643483000000005;0.0038787574999999998;0.003813129;1827443333.3333333;4905000.0;372.5674481821272;49;0.9664273532520968;1.0347389243846719;1.0603443107113086;351.3645939517499
random007;algorithm31;0.0030845941;0.0029539164999999997;0.0027764110000000003;704572500.0;2861250.0;246.24639580602886;31;0.9559613581593994;1.046067386997098;1.0;246.24639580602886
random008;algorithm1;0.0375122451;0.0371830445;0.036987975;18990679166.666668;10853750.0;1749.6882797804142;1;0.9859285709887575;1.0142722601061562;1.0;1749.6882797804142
random009;algorithm3;0.0020871739;0.001955971;0.001920915;627750000.0;888750.0;706.3291139240506;3;0.6087868853705937;1.6426109432223703;1.3191489361702127;535.4430379746835
random010;algorithm3;0.0096670124;0.011053825;0.0064592420000000005;3934320000.0;7832500.0;502.30705394190875;3;0.9425555855671677;1.060945386471044;1.0006447453255964;501.98340248962654
random011;algorithm3;0.00525529765;0.005201426;0.0051131760000000005;792640000.0;1640000.0;483.31707317073165;3;0.9800782425519109;1.0203267010562516;1.0;483.31707317073165
random012;algorithm2;0.02280414055;0.0220921175;0.021061372999999998;9063990000.0;8140000.0;1113.512285012285;2;0.9958723168759375;1.0041447915100312;1.0;1113.512285012285
